# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 樂聲不再響，一切都褪去，剩簡單理想。
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#2..,0,2,True,
0.5,B2..,0,2,True,
-1,,,,False,# ... ... ...
1,B2..,25,2,True,
2,E2..,0,2,True,
5,F#2..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
1,G#2..,25,2,True,
0.5,F#2..,0,2,True,
1.5,F#2..,0,2,True,
2,E2..,0,2,True,
-1,,,,False,# ... ... ...
2,E2..,0,2,True,
0.5,G#2..,0,2,True,
0.5,B2..,0,2,True,
-1,,,,False,# ... ... ...
1,B2..,25,2,True,
2,E2..,0,2,True,
5,F#2..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... 願終身獻出，真摰的敬拜，令你心讚賞。
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#2..,0,2,True,
0.5,B2..,0,2,True,
-1,,,,False,# ... ... ...
1,B2..,25,2,True,
2,E2..,0,2,True,
5,F#2..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
1,G#2..,25,2,True,
0.5,F#2..,0,2,True,
1.5,F#2..,0,2,True,
2,E2..,0,2,True,
-1,,,,False,# ... ... ...
2,E2..,0,2,True,
0.5,G#2..,0,2,True,
0.5,B2..,0,2,True,
-1,,,,False,# ... ... ...
1,B2..,25,2,True,
2,E2..,0,2,True,
5,F#2..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Pre-Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 已獻過不少愛歌，兼有精彩唱和，卻發覺相差太多。
1,..,,,True,
1,A2..,15,2,True,
1,A2..,15,2,True,
1,A2..,15,2,True,
-1,,,,False,# ... ... ...
1,G#2..,15,2,True,
1,F#2..,15,2,True,
1,E2..,15,2,True,
1,F#2..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,F#2..,15,2,True,
0.5,E2..,15,2,True,
-1,,,,False,# ... ... ...
1,G#2..,15,2,True,
1,F#2..,15,2,True,
1,E2..,15,2,True,
1,C#2..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,A2..,15,2,True,
1,A2..,15,2,True,
1,A2..,15,2,True,
-1,,,,False,# ... ... ...
1,G#2..,15,2,True,
1,F#2..,15,2,True,
1,E2..,15,2,True,
1,F#2..,15,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... 你要聽心底愛歌，此際終於覺悟，你鑑察透視心窩。
1,..,,,True,
1,A2..,15,2,True,
1,A2..,15,2,True,
1,A2..,15,2,True,
-1,,,,False,# ... ... ...
1,G#2..,15,2,True,
1,F#2..,15,2,True,
1,E2..,15,2,True,
4,F#2..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
0.5,F#2..,15,2,True,
0.5,E2..,15,2,True,
-1,,,,False,# ... ... ...
1,G#2..,15,2,True,
1,F#2..,15,2,True,
1,E2..,15,2,True,
1,C#2..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,B2..,15,2,True,
1,B2..,15,2,True,
1,B2..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
1,G#2..,15,2,True,
1.5,C#3..,15,2,True,
0,..,,,True,
0.5,F#2..,15,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [3] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 敬拜裡返回神真正心意，原來是為靠近，獨為靠近主你。
1,..,,,True,
1,B2..,15,2,True,
1,B2..,15,2,True,
1,B2..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
1,E2..,15,2,True,
1,E2..,15,2,True,
1,C#3..,25,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,B2..,25,2,True,
1,..,,,True,
1,G#2..,25,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#2..,25,2,True,
1,..,,,True,
0.5,E2..,15,2,True,
0.5,F#2..,15,2,True,
-1,,,,False,# ... ... ...
1,G#2..,0,2,True,
1,G#2..,0,2,True,
1,A2..,0,2,True,
1,G#2..,0,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
1,G#2..,0,2,True,
1,G#2..,0,2,True,
1,A2..,0,2,True,
1,G#2..,0,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#2..,0,2,True,
1,..,,,True,
1,E2..,0,2,True,
-1,,,,False,# ... 過去我虛浮無知請寬裕，原來是為靠近，獨為靠近主你。
1,..,,,True,
1,B2..,15,2,True,
1,B2..,15,2,True,
1,B2..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
1,E2..,15,2,True,
1,E2..,15,2,True,
1,C#3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,B2..,25,2,True,
1,..,,,True,
1,G#2..,25,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#2..,25,2,True,
1,..,,,True,
0.5,E2..,15,2,True,
0.5,F#2..,15,2,True,
-1,,,,False,# ... ... ...
1,G#2..,0,2,True,
1,G#2..,0,2,True,
1,A2..,0,2,True,
1,G#2..,0,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
1,G#2..,0,2,True,
1,G#2..,0,2,True,
1,A2..,0,2,True,
1,G#2..,0,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#2..,0,2,True,
1,..,,,True,
1,E2..,0,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 上主的榮耀，當得的讚美，問怎麼形容。
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#2..,15,2,True,
0.5,B2..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
2,E2..,15,2,True,
5,F#2..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
1,G#2..,15,2,True,
0.5,F#2..,15,2,True,
1.5,F#2..,15,2,True,
2,E2..,15,2,True,
-1,,,,False,# ... ... ...
2,E2..,15,2,True,
0.5,G#2..,15,2,True,
0.5,B2..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
2,E2..,15,2,True,
5,F#2..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... 願將所有的，一一交給你，奉上我全部。
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#2..,15,2,True,
0.5,B2..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
2,E2..,15,2,True,
5,F#2..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
