# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 人生到了絕處，才知道愛的深處
1,D2..,15,2,True,
1,C2..,15,2,True,
1,C2..,15,2,True,
0.5,B1..,15,2,True,
0.5,C2..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,G1..,15,2,True,
-1,,,,False,# ... ... ...
1,D2..,15,2,True,
0.5,C2..,15,2,True,
1,D2..,15,2,True,
1.5,G2..,15,2,True,
-1,,,,False,# ... ... ...
0.5,E2..,15,2,True,
1,D2..,15,2,True,
1,C2..,15,2,True,
0.5,..,,,True,
1,G1..,15,2,True,
-1,,,,False,# ... 才能盛載，神恩豐滿傾注
1,A1..,15,2,True,
0.5,B1..,15,2,True,
0.5,C2..,15,2,True,
1,..,,,True,
1,A1..,15,2,True,
-1,,,,False,# ... ... ...
1,F2..,15,2,True,
0.5,E2..,15,2,True,
0.5,C2..,15,2,True,
1,..,,,True,
1,D2..,15,2,True,
-1,,,,False,# ... ... ...
4,C2..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,G2..,15,2,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 挫折有你許可，要讓祝福漫過
1,G2..,15,2,True,
1,G2..,15,2,True,
1,G2..,15,2,True,
1,A2..,15,2,True,
-1,,,,False,# ... ... ...
0.5,..,,,True,
2.5,G2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
0.5,C3..,15,2,True,
1.5,B2..,15,2,True,
1,E2..,15,2,True,
-1,,,,False,# ... ... ...
3,G2..,15,2,True,
1,G2..,15,2,True,
-1,,,,False,# ... 至死痛楚，要將生命加多
1,A2..,15,2,True,
0.5,G2..,15,2,True,
2.5,A2..,15,2,True,
-1,,,,False,# ... ... ...
1.5,G2..,15,2,True,
1.5,A2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
3,E2..,15,2,True,
0.5,F2..,15,2,True,
0.5,E2..,15,2,True,
-1,,,,False,# ... ... ...
3,D2..,15,2,True,
1,G2..,15,2,True,
-1,,,,False,# ... 你破碎我一切，卻換上更多恩惠
1,G2..,15,2,True,
0.5,G2..,15,2,True,
1,G2..,15,2,True,
1.5,A2..,15,2,True,
-1,,,,False,# ... ... ...
3,G2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
0.5,C3..,15,2,True,
1,D3..,15,2,True,
1.5,E3..,15,2,True,
-1,,,,False,# ... ... ...
1.5,D3..,15,2,True,
1.5,C3..,15,2,True,
1,G2..,15,2,True,
-1,,,,False,# ... 榮耀路徑，必有淚涕
1.5,A2..,15,2,True,
1.5,B2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
1.5,D3..,15,2,True,
1.5,C3..,15,2,True,
1,B2..,15,2,True,
-1,,,,False,# ... ... ...
4,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,G2..,15,2,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 誰肯放棄自救，才將救恩識透
1,D3..,15,2,True,
1,C3..,15,2,True,
1,C3..,15,2,True,
0.5,B2..,15,2,True,
0.5,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,G2..,15,2,True,
-1,,,,False,# ... ... ...
1,D3..,15,2,True,
1,C3..,15,2,True,
1,D3..,15,2,True,
0.5,E3..,15,2,True,
0.5,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,G2..,15,2,True,
-1,,,,False,# ... 葡萄被壓，才得釋放，釀出新酒
1,A2..,15,2,True,
0.5,B2..,15,2,True,
1.5,C3..,15,2,True,
1,D3..,15,2,True,
-1,,,,False,# ... ... ...
1,F3..,15,2,True,
0.5,E3..,15,2,True,
1.5,C3..,15,2,True,
1,A2..,15,2,True,
-1,,,,False,# ... ... ...
3,D3..,15,2,True,
1,E3..,15,2,True,
-1,,,,False,# ... ... ...
3,D3..,15,2,True,
1,G2..,15,2,True,
-1,,,,False,# ... 人生到了絕處，才知道愛的深處
1,D3..,15,2,True,
1,C3..,15,2,True,
1,C3..,15,2,True,
0.5,B2..,15,2,True,
0.5,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,G2..,15,2,True,
-1,,,,False,# ... ... ...
1,D3..,15,2,True,
0.5,C3..,15,2,True,
1,D3..,15,2,True,
1.5,G3..,15,2,True,
-1,,,,False,# ... ... ...
0.5,E3..,15,2,True,
1,D3..,15,2,True,
1,C3..,15,2,True,
0.5,..,,,True,
1,G2..,15,2,True,
-1,,,,False,# ... 才能盛載，神恩豐滿傾注
1,A2..,15,2,True,
0.5,B2..,15,2,True,
0.5,C3..,15,2,True,
1,..,,,True,
1,A2..,15,2,True,
-1,,,,False,# ... ... ...
1,F3..,15,2,True,
0.5,E3..,15,2,True,
0.5,C3..,15,2,True,
1,..,,,True,
1,D3..,15,2,True,
-1,,,,False,# ... ... ...
4,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
1,G2..,15,2,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 挫折有你許可，要讓祝福漫過
1,G2..,15,2,True,
1,G2..,15,2,True,
1,G2..,15,2,True,
1,A2..,15,2,True,
-1,,,,False,# ... ... ...
0.5,..,,,True,
2.5,G2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
0.5,C3..,15,2,True,
1.5,B2..,15,2,True,
1,E2..,15,2,True,
-1,,,,False,# ... ... ...
3,G2..,15,2,True,
1,G2..,15,2,True,
-1,,,,False,# ... 至死痛楚，要將生命加多
1,A2..,15,2,True,
0.5,G2..,15,2,True,
2.5,A2..,15,2,True,
-1,,,,False,# ... ... ...
1.5,G2..,15,2,True,
1.5,A2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
3,E2..,15,2,True,
0.5,F2..,15,2,True,
0.5,E2..,15,2,True,
-1,,,,False,# ... ... ...
3,D2..,15,2,True,
1,G2..,15,2,True,
-1,,,,False,# ... 你破碎我一切，卻換上更多恩惠
1,G2..,15,2,True,
0.5,G2..,15,2,True,
1,G2..,15,2,True,
1.5,A2..,15,2,True,
-1,,,,False,# ... ... ...
3,G2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
1,B2..,15,2,True,
0.5,C3..,15,2,True,
1,D3..,15,2,True,
1.5,E3..,15,2,True,
-1,,,,False,# ... ... ...
1.5,D3..,15,2,True,
1.5,C3..,15,2,True,
1,G2..,15,2,True,
-1,,,,False,# ... 榮耀路徑，必有淚涕
1.5,A2..,15,2,True,
1.5,B2..,15,2,True,
1,C3..,15,2,True,
-1,,,,False,# ... ... ...
1.5,D3..,15,2,True,
1.5,C3..,15,2,True,
1,B2..,15,2,True,
-1,,,,False,# ... ... ...
