# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
1,G2..,45,1,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [1] Lyrics
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ...同(唱)主恩(深)厚，哈利(路)(亞)
1,C3..,45,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,D3..,35,0.5,True,
0.5,E3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,B2..,20,1,True,
1,G2..,15,2,True,
1,..,25,1,True,
0.5,E2..,15,0.5,True,
0.5,G2..,15,0.5,True,
-1,,,,False,# ... ... ... 
1,A2..,30,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,A2..,30,0.5,True,
0.5,G2..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,G2..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
1,G2..,45,1,True,
-1,,,,False,# ...崇(拜)完備(的)主，歌聲(高)唱入(雲)
1,C3..,45,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,D3..,35,0.5,True,
0.5,E3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,G3..,20,1,True,
1,E3..,15,2,True,
1,..,25,1,True,
0.5,G3..,15,0.5,True,
0.5,G3..,15,0.5,True,
-1,,,,False,# ... ... ... 
1,G3..,30,1,True,
1,F3..,25,2,True,
1,..,25,1,True,
1,E3..,20,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,E3..,25,0.5,True,
0.5,D3..,25,0.5,True,
-1,,,,False,# ...當這(世)界，仍是(冷)漠
1,C3..,25,1,True,
1,C3..,25,2,True,
1,..,25,1,True,
0.5,D3..,25,0.5,True,
0.5,E3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,E3..,25,2,True,
1,..,25,1,True,
0.5,E3..,25,0.5,True,
0.5,D3..,25,0.5,True,
-1,,,,False,# ...基督(降)世捨(身)
1,C3..,25,1,True,
1,C3..,25,2,True,
1,..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ... ... ... 
1,E3..,25,2,True,
1,..,25,1,True,
0.5,E3..,25,0.5,True,
0.5,D3..,25,0.5,True,
-1,,,,False,# ...使我們(從)罪裡得(生)
0.5,C3..,25,0.5,True,
0.5,G2..,25,0.5,True,
1,A2..,25,2,True,
1,..,25,1,True,
1,B2..,25,2,True,
1,..,25,1,True,
1,C3..,25,2,True,
1,..,25,1,True,
1,E3..,25,2,True,
1,..,25,1,True,
1,D3..,25,6,True,
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,E3..,25,0.5,True,
0.5,D3..,25,0.5,True,
0.5,D3..,25,0.5,True,
0.5,C3..,25,0.5,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ...我願頌揚(跪)拜(你)，歌聲(高)唱入(雲)
1,E3..,25,1,True,
1,G3..,25,2,True,
1,..,25,1,True,
1,..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,G3..,25,1,True,
0.5,G3..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,F3..,25,2,True,
1,..,25,1,True,
1,E3..,25,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,2,True,
1,..,25,1,True,
0.5,E3..,25,0.5,True,
0.5,D3..,25,0.5,True,
0.5,D3..,25,0.5,True,
0.5,C3..,25,0.5,True,
-1,,,,False,# ...舉起手來(頌)讚(你)，歡呼(主)愛大(能)
1,E3..,25,1,True,
1,G3..,25,2,True,
1,..,25,1,True,
1,..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,G3..,25,1,True,
0.5,G3..,25,1,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,F3..,25,2,True,
1,..,25,1,True,
1,E3..,25,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,2,True,
1,..,25,1,True,
1,E3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ...主(啊)，你是我(詩)歌
1,C3..,25,2,True,
1,..,25,1,True,
0.5,..,25,1,True,
0.5,C3..,25,0.5,True,
0.5,A2..,25,0.5,True,
0.5,C3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,G3..,25,1.5,True,
1,E3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ...主(啊)，你是我(盾)牌
1,C3..,25,2,True,
1,..,25,1,True,
0.5,..,25,1,True,
0.5,C3..,25,0.5,True,
0.5,A2..,25,0.5,True,
0.5,C3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,B2..,25,1,True,
1,G2..,25,1.5,True,
1,E3..,25,1,True,
1,D3..,25,1,True,
-1,,,,False,# ...主(啊)，你是我(今)生不變(主)宰()，感謝(祢)
1,C3..,25,2,True,
1,..,25,1,True,
0.5,..,25,1,True,
0.5,C3..,25,0.5,True,
0.5,A2..,25,0.5,True,
0.5,C3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,G3..,25,1,True,
1,G3..,25,1,True,
0.5,E3..,25,0.5,True,
0.5,D3..,25,0.5,True,
1,C3..,25,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,1,True,
1,D3..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
-1,,,,False,# ... ... ... 
1,..,25,1,True,
1,..,25,1,True,
1,D3..,25,1,True,
1,B2..,25,1,True,
-1,,,,False,# ... ... ... 
1,C3..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
-1,,,,False,# ... ... ... 
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
1,..,25,1,True,
1,..,25,1,True,
1,..,25,1,True,
1,G2..,45,1,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# [1] Lyrics
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# ...同(唱)主恩(深)厚，哈利(路)(亞)
1,C3..,45,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,D3..,35,0.5,True,
0.5,E3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,B2..,20,1,True,
1,G2..,15,2,True,
1,..,25,1,True,
0.5,E2..,15,0.5,True,
0.5,G2..,15,0.5,True,
-1,,,,False,# ... ... ... 
1,A2..,30,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,A2..,30,0.5,True,
0.5,G2..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,G2..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
1,G2..,45,1,True,
-1,,,,False,# ...崇(拜)完備(的)主，歌聲(高)唱入(雲)
1,C3..,45,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,D3..,35,0.5,True,
0.5,E3..,25,0.5,True,
-1,,,,False,# ... ... ... 
1,G3..,20,1,True,
1,E3..,15,2,True,
1,..,25,1,True,
0.5,G3..,15,0.5,True,
0.5,G3..,15,0.5,True,
-1,,,,False,# ... ... ... 
1,G3..,30,1,True,
1,F3..,25,2,True,
1,..,25,1,True,
1,E3..,20,1,True,
-1,,,,False,# ... ... ... 
1,D3..,25,4,True,
1,..,25,1,True,
1,..,25,1,True,
0.5,E3..,25,0.5,True,
0.5,D3..,0,0.5,True,
-1,,,,False,# ...當這(世)界，仍是(冷)漠
1,C3..,10,1,True,
1,C3..,0,2,True,
1,..,25,1,True,
