# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... When the music fades... All is striped away... And I simply come...
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#3..,0,2,True,
0.5,B3..,0,2,True,
-1,,,,False,# ... ... ...
1,B3..,25,2,True,
2,E3..,0,2,True,
5,F#3..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
1,G#3..,25,2,True,
0.5,F#3..,0,2,True,
1.5,F#3..,0,2,True,
2,E3..,0,2,True,
-1,,,,False,# ... ... ...
2,E3..,0,2,True,
0.5,G#3..,0,2,True,
0.5,B3..,0,2,True,
-1,,,,False,# ... ... ...
1,B3..,25,2,True,
2,E3..,0,2,True,
5,F#3..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... Longing just to bring... Something that's of worth... That will bless your heart...
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#3..,0,2,True,
0.5,B3..,0,2,True,
-1,,,,False,# ... ... ...
1,B3..,25,2,True,
2,E3..,0,2,True,
5,F#3..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
1,G#3..,25,2,True,
0.5,F#3..,0,2,True,
1.5,F#3..,0,2,True,
2,E3..,0,2,True,
-1,,,,False,# ... ... ...
2,E3..,0,2,True,
0.5,G#3..,0,2,True,
0.5,B3..,0,2,True,
-1,,,,False,# ... ... ...
1,B3..,25,2,True,
2,E3..,0,2,True,
5,F#3..,0,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Pre-Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... I'll bring you more than a song... for a song in itself... it's not what you have required...
1,..,,,True,
1,A3..,15,2,True,
1,A3..,15,2,True,
1,A3..,15,2,True,
-1,,,,False,# ... ... ...
1,G#3..,15,2,True,
1,F#3..,15,2,True,
1,E3..,15,2,True,
1,F#3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,F#3..,15,2,True,
0.5,E3..,15,2,True,
-1,,,,False,# ... ... ...
1,G#3..,15,2,True,
1,F#3..,15,2,True,
1,E3..,15,2,True,
1,C#3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,A3..,15,2,True,
1,A3..,15,2,True,
1,A3..,15,2,True,
-1,,,,False,# ... ... ...
1,G#3..,15,2,True,
1,F#3..,15,2,True,
1,E3..,15,2,True,
1,F#3..,15,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... You search much deeper within... through the way things appear... you're looking into my heart...
1,..,,,True,
1,A3..,15,2,True,
1,A3..,15,2,True,
1,A3..,15,2,True,
-1,,,,False,# ... ... ...
1,G#3..,15,2,True,
1,F#3..,15,2,True,
1,E3..,15,2,True,
4,F#3..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
0.5,F#3..,15,2,True,
0.5,E3..,15,2,True,
-1,,,,False,# ... ... ...
1,G#3..,15,2,True,
1,F#3..,15,2,True,
1,E3..,15,2,True,
1,C#3..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,B3..,15,2,True,
1,B3..,15,2,True,
1,B3..,15,2,True,
-1,,,,False,# ... ... ...
1,B3..,15,2,True,
1,G#3..,15,2,True,
1.5,C#4..,15,2,True,
0,..,,,True,
0.5,F#3..,15,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [3] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... I'm coming back to the heart of worship... And it's all about you... It's all about you Jesus...
1,..,,,True,
1,B3..,15,2,True,
1,B3..,15,2,True,
1,B3..,15,2,True,
-1,,,,False,# ... ... ...
1,B3..,15,2,True,
1,E3..,15,2,True,
1,E3..,15,2,True,
1,C#4..,25,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,B3..,25,2,True,
1,..,,,True,
1,G#3..,25,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#3..,25,2,True,
1,..,,,True,
0.5,E3..,15,2,True,
0.5,F#3..,15,2,True,
-1,,,,False,# ... ... ...
1,G#3..,0,2,True,
1,G#3..,0,2,True,
1,A3..,0,2,True,
1,G#3..,0,2,True,
-1,,,,False,# ... ... ...
3,..,,,True,
1,G#3..,0,2,True,
-1,,,,False,# ... ... ...
1,G#3..,0,2,True,
1,G#3..,0,2,True,
1,A3..,0,2,True,
1,G#3..,0,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#3..,0,2,True,
1,..,,,True,
1,E3..,0,2,True,
-1,,,,False,# ... I'm sorry lord for the things I've made it... And it's all about you... It's all about you Jesus...
1,..,,,True,
1,B3..,15,2,True,
1,B3..,15,2,True,
1,B3..,15,2,True,
-1,,,,False,# ... ... ...
1,B3..,15,2,True,
1,E3..,15,2,True,
1,E3..,15,2,True,
1,C#4..,15,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,B3..,25,2,True,
1,..,,,True,
1,G#3..,25,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#3..,25,2,True,
1,..,,,True,
0.5,E3..,15,2,True,
0.5,F#3..,15,2,True,
-1,,,,False,# ... ... ...
1,G#3..,0,2,True,
1,G#3..,0,2,True,
1,A3..,0,2,True,
1,G#3..,0,2,True,
-1,,,,False,# ... ... ...
3,..,,,True,
1,G#3..,0,2,True,
-1,,,,False,# ... ... ...
1,G#3..,0,2,True,
1,G#3..,0,2,True,
1,A3..,0,2,True,
1,G#3..,0,2,True,
-1,,,,False,# ... ... ...
1,..,,,True,
1,F#3..,0,2,True,
1,..,,,True,
1,E3..,0,2,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... King of endless worth... No one could express how much you deserve...
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#3..,15,2,True,
0.5,B3..,15,2,True,
-1,,,,False,# ... ... ...
1,B3..,15,2,True,
2,E3..,15,2,True,
5,F#3..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
1,G#3..,15,2,True,
0.5,F#3..,15,2,True,
1.5,F#3..,15,2,True,
2,E3..,15,2,True,
-1,,,,False,# ... ... ...
2,E3..,15,2,True,
0.5,G#3..,15,2,True,
0.5,B3..,15,2,True,
-1,,,,False,# ... ... ...
1,B3..,15,2,True,
2,E3..,15,2,True,
5,F#3..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... Though I'm weak and poor... All I've is yours... Every single breathe
1,..,,,True,
1,..,,,True,
1,..,,,True,
0.5,G#3..,15,2,True,
0.5,B3..,15,2,True,
-1,,,,False,# ... ... ...
1,B3..,15,2,True,
2,E3..,15,2,True,
5,F#3..,15,2,True,
-1,,,,False,# ... ... ...
0,..,,,True,
-1,,,,False,# ... ... ...
