# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 樂聲不再響，一切都褪去，剩簡單理想。
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m.1.,25,1,True,
1,..,,,True,
1,F#m.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m.1.,25,1,True,
1,..,,,True,
1,F#m.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... 願終身獻出，真摰的敬拜，令你心讚賞。
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m.1.,25,1,True,
1,..,,,True,
1,F#m.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m.1.,25,1,True,
1,..,,,True,
1,F#m.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Pre-Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 已獻過不少愛歌，兼有精彩唱和，卻發覺相差太多。
1,F#m7.1.,25,1,True,
1,..,,,True,
1,F#m7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m7.1.,25,1,True,
1,..,,,True,
1,F#m7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... 你要聽心底愛歌，此際終於覺悟，你鑑察透視心窩。
1,F#m7.1.,25,1,True,
1,..,,,True,
1,F#m7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m7.1.,25,1,True,
1,..,,,True,
1,F#m7.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [3] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 敬拜裡返回神真正心意，原來是為靠近，獨為靠近主你。
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m.1.,25,1,True,
1,..,,,True,
1,F#m.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... 過去我虛浮無知請寬裕，原來是為靠近，獨為靠近主你。
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,A.1.,25,1,True,
1,..,,,True,
1,A.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,F#m.1.,25,1,True,
1,..,,,True,
1,F#m.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,B.1.,25,1,True,
1,..,,,True,
1,B.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ...
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 上主的榮耀，當得的讚美，問怎麼形容。
1,E.1.,25,1,True,
1,..,,,True,
1,E.1.,10,1,True,
1,..,,,True,
