# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# (願你的旨意行在我們當中)
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,G.0.,25,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,Em.0.,25,1,True,
1,Em.0.,0,1,True,
1,Am.0.,25,1,True,
1,Am.0.,0,1,True,
-1,,,,False,# (直到永永遠遠)
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,G.0.,25,1,True,
1,G.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ... ... ... 
-1,,,,False,# ... ... ... 
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Lyrics
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  永久不變萬千世代，仍然無更改，神國度到永久
1,C.0.,25,1,True,
1,C.0.,0,1,True,
1,C.0.,10,1,True,
1,C.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,Em.0.,25,1,True,
1,Em.0.,0,1,True,
1,Em.0.,10,1,True,
1,Em.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,F.0.,25,1,True,
1,F.0.,0,1,True,
1,F.0.,10,1,True,
1,F.0.,0,1,True,
-1,,,,False,# ... ... ... 
1,G.0.,25,1,True,
1,G.0.,0,1,True,
1,G.0.,10,1,True,
