# File: CSV (Comma-Delimiter)
# Feature: Track+Channel; Beat+Note;
# _Header: Time,Pitch,VolumeOffset,DurationOffset,_Enabled_,_Comment_
# _Footer: EnabledChannel,ChannelDefaultPitch,(Reservation)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Intro...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 人生到了絕處，才知道愛的深處
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... 才能盛載，神恩豐滿傾注
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 挫折有你許可，要讓祝福漫過
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... 至死痛楚，要將生命加多
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... 你破碎我一切，卻換上更多恩惠
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... 榮耀路徑，必有淚涕
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 誰肯放棄自救，才將救恩識透
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,Am.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... 葡萄被壓，才得釋放，釀出新酒
4,F.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,Dm.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.,15,2,True,
-1,,,,False,# ... 人生到了絕處，才知道愛的深處
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,Am.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... 才能盛載，神恩豐滿傾注
4,F.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [1] Verse
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 挫折有你許可，要讓祝福漫過
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.,15,2,True,
-1,,,,False,# ... ... ...
4,Am7.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... 至死痛楚，要將生命加多
4,F.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,Dm7.0.,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.,15,2,True,
-1,,,,False,# ... 你破碎我一切，卻換上更多恩惠
4,C.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,Am7.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.4,15,2,True,
-1,,,,False,# ... 榮耀路徑，必有淚涕
4,F.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.3,15,2,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 誰肯放棄自救，才將救恩識透
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,Am.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... 葡萄被壓，才得釋放，釀出新酒
4,F.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,Dm.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.3,15,2,True,
-1,,,,False,# ... 人生到了絕處，才知道愛的深處
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... ... ...
4,Am.0.,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... 才能盛載，神恩豐滿傾注
4,F.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.,15,2,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  [2] Chorus
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,# ... 誰肯放棄自救，才將救恩識透
4,C.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,Am.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.3,15,2,True,
-1,,,,False,# ... 葡萄被壓，才得釋放，釀出新酒
4,F.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,Dm.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.3,15,2,True,
-1,,,,False,# ... 人生到了絕處，才知道愛的深處
4,C.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,Am.0.3,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.3,15,2,True,
-1,,,,False,# ... 才能盛載，神恩豐滿傾注
4,F.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,G.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.4,15,2,True,
-1,,,,False,# ... ... ...
4,C.0.3,15,2,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
-1,,,,False,#  (Musics...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... 
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ...
4,..,,,True,
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
-1,,,,False,# (Silent...)
-1,,,,False,# ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
4,..,,,True,
Footer:True,1,-20
